,mean,std,min,max,variance
content,-0.12179872393608093,1.6293866634368896,-4.992095947265625,3.473607063293457,2.6549010276794434
speaker,0.09026806056499481,0.9080806374549866,-1.4936842918395996,2.7951810359954834,0.8246104121208191
environment,-0.2036159783601761,1.150625467300415,-3.58115291595459,2.9124882221221924,1.3239388465881348
excitation,0.156687393784523,0.9059266448020935,-2.2408885955810547,1.7327574491500854,0.8207030892372131
fidelity,-0.004523800686001778,1.3384078741073608,-3.8089113235473633,3.0154104232788086,1.7913355827331543
