,l1,mse
logmel,0.17007526755332947,0.04126264154911041
mr_mag_256,0.16604645550251007,0.040431708097457886
mr_mag_512,0.15984994173049927,0.037765514105558395
mr_mag_1024,0.15129493176937103,0.03409687057137489
magnitude,0.14945657551288605,0.03343440964818001
if,0.2974483370780945,0.4271860420703888
modgd,0.8495382070541382,0.8051294684410095
phase_sin,0.6323351860046387,0.49612700939178467
phase_cos,0.6400143504142761,0.5042415261268616
