epoch,reconstruction,phase_enabled,phase_progress,logmel_loss,logmel_l1,logmel_mse,mr_mag_256_loss,mr_mag_256_l1,mr_mag_256_mse,mr_mag_512_loss,mr_mag_512_l1,mr_mag_512_mse,magnitude_loss,magnitude_l1,magnitude_mse,mr_mag_1024_loss,mr_mag_1024_l1,mr_mag_1024_mse,if_loss,if_l1,if_mse,modgd_loss,modgd_l1,modgd_mse,phase_sin_loss,phase_sin_l1,phase_sin_mse,phase_cos_loss,phase_cos_l1,phase_cos_mse,phase_derivative,derived_if_loss,derived_gd_loss,von_mises,phase_continuity,multires,content_kl,content_beta,speaker_kl,speaker_beta,environment_kl,environment_beta,excitation_kl,excitation_beta,fidelity_kl,fidelity_beta,kl_total,orthogonality,tc,total,disc_loss,disc_real_acc,disc_perm_acc,discriminator_loss
133,5.043532884757937,1.0,0.4433333333333334,0.16489854272995286,0.1449337683561194,0.039929550013128125,0.15738469618194886,0.14008138328790665,0.0346066260866764,0.1582283164367421,0.14119067219377474,0.0340752896589746,0.15901810744109043,0.1420616530280077,0.033912909067882836,0.15851143321008174,0.14170520582044396,0.033612454807712834,0.5620098719160065,0.3302287868871034,0.4635621673278226,1.2171530814571234,0.8249148330615677,0.7844764995210953,0.8219320100682382,0.5904790904685742,0.46290584079181873,0.8347376025360049,0.5988549919983813,0.471765230175193,0.47492876330404793,0.8482137563574406,1.0515012977687457,0.24051369988281307,0.09421679616429424,0.5252716288766788,0.6470949690760547,0.009999999776482582,0.13292819693798327,0.029999999329447746,0.03760080737637655,0.07000000029802322,0.2161671725165753,0.03999999910593033,0.5758119675949329,0.009999999776482582,0.027495658010926866,0.10804627059411456,0.0,6.175594974110145,0.6931062691084301,0.49236641221374045,0.48091603053435117,
134,5.047188049054328,1.0,0.44666666666666666,0.1639927996478918,0.14431315643414286,0.039359285993828576,0.1570137080004197,0.13986874542391028,0.03428992397997898,0.15807778957008406,0.1411591833101884,0.033837211879951354,0.1588598814515667,0.14197514251670765,0.03376947862330739,0.1583063874877136,0.14158740423562874,0.03343796594964184,0.5599502789155217,0.3288010948031913,0.4622983648121812,1.2191639601729298,0.8263672280857581,0.7855934678143217,0.8240091432141894,0.5919650046880008,0.4640882759148838,0.8368851510623029,0.6003790461380063,0.4730122046161244,0.4754736594116415,0.849738881788181,1.052155755858385,0.24091729317002625,0.09453799803065889,0.5241804348148462,0.6012034361599056,0.009999999776482582,0.16132715765301509,0.029999999329447746,0.03329228845830182,0.07000000029802322,0.22304336681165768,0.03999999910593033,0.5999084883973799,0.009999999776482582,0.02810312823200499,0.1051818061449373,0.0,6.176242963048338,0.6925057618672611,0.5343511450381679,0.5305343511450382,
135,5.042399759511001,1.0,0.45,0.16697756491089596,0.14649746117701057,0.04096020669996284,0.1590553563628488,0.1413731722317579,0.03536436851811773,0.15978455225019964,0.14242100527950827,0.03472709364990014,0.160468055831112,0.14319809884515428,0.03453991313301425,0.1600745360132392,0.14295231880804965,0.03424443451701912,0.5645936770748546,0.3320759971633212,0.4650353600505654,1.211766520529303,0.821380203461829,0.7807726405049098,0.8191996639921465,0.58851494543425,0.46136943688829435,0.8319267853525759,0.5968454716769793,0.47016262007123644,0.47452284156821156,0.8474699513602802,1.050621410362593,0.24008996136315908,0.09394025904986694,0.5310823917388916,0.6470614785456476,0.009999999776482582,0.17307002671802316,0.029999999329447746,0.03187536352975223,0.07000000029802322,0.21308087642866236,0.03999999910593033,0.5563364420228332,0.009999999776482582,0.027980589997449904,0.10297027854462161,0.0,6.184030267118498,0.6920185448559186,0.5458015267175572,0.5114503816793893,
136,5.04024026958087,1.0,0.45333333333333325,0.1664449005522801,0.14606621309773613,0.040757375591583836,0.15828976746051365,0.140773048553303,0.03503343686888009,0.15908014182826036,0.1418632328055287,0.03443381854311656,0.15967454545142998,0.14256067568336733,0.03422773930151726,0.15931504316457357,0.14230994180641102,0.03401020202671981,0.5648830594452283,0.3321738659425546,0.46541839314781075,1.2125639082821271,0.8218598716131603,0.7814080765229146,0.8192848649643759,0.5885806811674861,0.4614083660012893,0.8320820126824706,0.5969526899679927,0.4702586499789289,0.47460670553090917,0.8474756042465909,1.050951217877046,0.2400428139753924,0.09397249577837136,0.5284236810589564,0.6475139706189396,0.009999999776482582,0.1866310362824957,0.029999999329447746,0.03542481213523686,0.07000000029802322,0.2372208014699339,0.03999999910593033,0.5661888395556967,0.009999999776482582,0.02970452754552128,0.1031544704758029,0.0,6.178369376495595,0.6914862944879605,0.5229007633587787,0.5343511450381679,
137,5.043442868094408,1.0,0.4566666666666666,0.16316765609360834,0.1435654218529017,0.039204468296570635,0.1565206040066617,0.13937293544752907,0.034295338504585146,0.15748442624133963,0.14060442854884928,0.033759995093498064,0.1582709200509632,0.14142911016713572,0.03368361878656704,0.15764044566463878,0.1409868078149912,0.03330727503812723,0.5598048246998824,0.32876046627532435,0.4620887195790997,1.2193940982563805,0.8264933806339293,0.7858014311499268,0.8238109286504848,0.5918247972735922,0.4639722659387661,0.8366761344079753,0.6002346927883061,0.4728828877893113,0.47534114122390747,0.8493717945259036,1.0519927694597317,0.2408725309917945,0.09445916895420496,0.5223267765445564,0.6788722590635751,0.009999999776482582,0.20459680463976532,0.029999999329447746,0.04491707074050685,0.07000000029802322,0.2232966690345575,0.03999999910593033,0.5484577449223468,0.009999999776482582,0.030487265238780103,0.09753271527872741,0.0,6.167350041047308,0.6912810866159337,0.5267175572519084,0.5114503816793893,
138,5.0428132355668165,1.0,0.46,0.1653280881524996,0.14533011882587243,0.039995939264656936,0.15782362711793593,0.14048521584681883,0.03467682305410618,0.15883934276022074,0.14171419309750768,0.034250300235420694,0.15936446036318785,0.14232589139510657,0.03407713855467452,0.15891826374612691,0.14205553388322584,0.03372545977556751,0.562482197548597,0.3305657308065254,0.4638329332566443,1.2150622879275839,0.8236331257201334,0.7828583235049066,0.8213422421280664,0.5900549811261301,0.4625745258713497,0.8341722065255842,0.598445349067222,0.47145371013925275,0.4748584052533594,0.8481681451542686,1.0512654754041715,0.2404057349412496,0.09421639957728277,0.5269075272647479,0.679500429229882,0.009999999776482582,0.2199152328130853,0.029999999329447746,0.039274917673746135,0.07000000029802322,0.2258472982936233,0.03999999910593033,0.5568579726546775,0.009999999776482582,0.030744176528608527,0.09782915514047819,0.0,6.176287057745547,0.6913740380119732,0.5152671755725191,0.549618320610687,
139,5.048375591976952,1.0,0.4633333333333334,0.16459725211367351,0.1446988909640385,0.03979672303153131,0.15737958570928065,0.14007124833705772,0.03461667504303783,0.15986062233684628,0.14240279884738777,0.03491564705001034,0.1591664997448448,0.14218480014846524,0.03396340038001765,0.1587709820338788,0.14190964787515975,0.033722667606504816,0.5610235827114746,0.3293910203999235,0.4632651309930641,1.2180681642685227,0.8256001144875097,0.7849361045669964,0.8230480383370669,0.5912796161101974,0.46353684809371715,0.8360014940036162,0.5997454103167731,0.47251216532619855,0.4752221780878897,0.849618146437725,1.0512705686438175,0.2407979598937144,0.09443923637612175,0.5276386862947741,0.6166219975202138,0.009999999776482582,0.22798380687946582,0.029999999329447746,0.03653587853066794,0.07000000029802322,0.2088788992348518,0.03999999910593033,0.5803155357601079,0.009999999776482582,0.02972155637356616,0.0974629964707917,0.0,6.182106025346362,0.6908696539529408,0.5343511450381679,0.5114503816793893,
140,5.040052013542816,1.0,0.46666666666666673,0.16687236709221628,0.14644129813172435,0.04086213821957584,0.15873985339439553,0.14116152176875194,0.03515666374183111,0.15950058764628783,0.14222502190875644,0.03455113020249223,0.15981094755289207,0.14270301185946427,0.03421587078256234,0.16010316285013243,0.1429797460445921,0.03424683336936336,0.5655343259563883,0.3326204646634692,0.46582772554332064,1.2116031246330903,0.8211933324355205,0.7808195884901149,0.818491158594612,0.5880098465744775,0.46096262927273757,0.8312772112038299,0.596378177176905,0.46979806327637824,0.47432614464796224,0.8465394987404802,1.0507650784863771,0.2399568037904856,0.09383633920482097,0.5303209171495364,0.686542278937711,0.009999999776482582,0.24240674226338627,0.029999999329447746,0.03657316368158537,0.07000000029802322,0.1895064341885443,0.03999999910593033,0.5221449482531948,0.009999999776482582,0.029499452674889383,0.09777743318153702,0.0,6.17908200780854,0.6919747227020846,0.5419847328244275,0.5419847328244275,
141,5.044062585321091,1.0,0.46999999999999986,0.16291547600777095,0.14339534693774375,0.03904025826446769,0.15579356600082558,0.13879568254902164,0.033995767209309205,0.1568202343947105,0.1400790111026691,0.03348244669783206,0.15766770876090946,0.14097239856274074,0.03339062124234802,0.1572569709925251,0.14070520851448293,0.0331035252404577,0.5586843226702158,0.32793409565022885,0.46150045654245914,1.2209051046662658,0.827505903844615,0.7867983961833342,0.8249722669142803,0.5926521566077954,0.46464022448044695,0.8378049221657614,0.6010345197815932,0.47354080590582986,0.4756047923601311,0.8502544050908271,1.0521647629847053,0.24103311864474347,0.09460407927746081,0.52016164123557,0.6190288917708943,0.009999999776482582,0.260584776865617,0.029999999329447746,0.04196068789554006,0.07000000029802322,0.1961233934373346,0.03999999910593033,0.5824984243807901,0.009999999776482582,0.030614999840960246,0.09205200380951394,0.0,6.161026910971139,0.6903258844186332,0.5267175572519084,0.5343511450381679,
142,5.045853767686218,1.0,0.4733333333333333,0.1632724900850813,0.14371751226086654,0.03910995561999219,0.15605876350220832,0.13907026903319905,0.03397698888114391,0.15729980108164648,0.14050233204856175,0.03359493840741747,0.1579420325410275,0.1412239261824666,0.0334362126957938,0.1575454446195646,0.14096396387988375,0.03316296110967643,0.5593501645645113,0.32842761164403145,0.46184510538596235,1.221505803006296,0.8278121443195198,0.7873873169185551,0.8244562922543242,0.5922912864284661,0.46433001119671885,0.8374804558644768,0.6007942534585036,0.4733724043569492,0.475370301090124,0.8497329003938282,1.051748305786657,0.24103407527654225,0.09453814567727897,0.5212714537864424,0.6844455426885881,0.009999999776482582,0.27787492225188337,0.029999999329447746,0.041469126086653645,0.07000000029802322,0.19703784960371848,0.03999999910593033,0.5531572531197817,0.009999999776482582,0.0314966277965835,0.0901124810387615,0.0,6.164949544513498,0.6897976216469103,0.5343511450381679,0.549618320610687,
