content,speaker,environment,excitation,fidelity,epoch
0.00025,0.00075,0.0017500000000000003,5.5848038217309564e-05,1.3962009554327391e-05,1
0.0005,0.0015,0.0035000000000000005,0.00014649630951960415,3.662407737990104e-05,2
0.00075,0.00225,0.00525,0.00030531570303157573,7.632892575789393e-05,3
0.001,0.003,0.007000000000000001,0.0005628677106875999,0.00014071692767189998,4
0.00125,0.00375,0.00875,0.0009456213946819495,0.00023640534867048736,5
0.0015,0.0045,0.0105,0.0014748120309664514,0.00036870300774161286,6
0.0017499999999999998,0.0052499999999999995,0.01225,0.002165481588366007,0.0005413703970915017,7
0.002,0.006,0.014000000000000002,0.0030257354213752,0.0007564338553438,8
0.0022500000000000003,0.00675,0.015750000000000004,0.004056242661953013,0.0010140606654882533,9
0.0025,0.0075,0.0175,0.0052499999999999995,0.0013124999999999999,10
0.0027500000000000003,0.00825,0.019250000000000003,0.006592370079835208,0.001648092519958802,11
0.003,0.009,0.021,0.008061396867937201,0.0020153492169843004,12
0.0032500000000000003,0.00975,0.022750000000000003,0.009628391335891703,0.002407097833972926,13
0.0034999999999999996,0.010499999999999999,0.0245,0.011258771927744944,0.002814692981936236,14
0.00375,0.01125,0.026250000000000002,0.01291313581595415,0.0032282839539885377,15
0.004,0.012,0.028000000000000004,0.0145485291572496,0.0036371322893124,16
0.00425,0.01275,0.029750000000000002,0.01611987768282107,0.004029969420705268,17
0.0045000000000000005,0.0135,0.03150000000000001,0.017581533214323566,0.004395383303580891,18
0.00475,0.014249999999999999,0.03325,0.01888888727387112,0.00472222181846778,19
0.005,0.015,0.035,0.02,0.005,20
0.00525,0.01575,0.036750000000000005,0.0208771911974365,0.005219297799359125,21
0.0055000000000000005,0.0165,0.038500000000000006,0.021488540595284357,0.005372135148821089,22
0.00575,0.017249999999999998,0.04025,0.021809246276757923,0.005452311569189481,23
0.006,0.018,0.042,0.0218227937358744,0.0054556984339686,24
0.00625,0.01875,0.043750000000000004,0.021521893026590258,0.0053804732566475645,25
0.006500000000000001,0.0195,0.045500000000000006,0.020909147865812047,0.005227286966453012,26
0.006750000000000001,0.02025,0.04725000000000001,0.01999742815915969,0.0049993570397899225,27
0.006999999999999999,0.020999999999999998,0.049,0.0188099260251868,0.0047024815062967,28
0.0072499999999999995,0.02175,0.05075,0.017379884755929182,0.0043449711889822955,29
0.0075,0.0225,0.052500000000000005,0.015750000000000004,0.003937500000000001,30
0.007750000000000001,0.02325,0.05425000000000001,0.013971502502282603,0.0034928756255706507,31
0.008,0.024,0.05600000000000001,0.012102941685500801,0.0030257354213752002,32
0.00825,0.024749999999999998,0.05775,0.010208698916582607,0.0025521747291456518,33
0.0085,0.0255,0.059500000000000004,0.008357268175476563,0.0020893170438691408,34
0.00875,0.02625,0.061250000000000006,0.006619349762773651,0.0016548374406934127,35
0.009000000000000001,0.027,0.06300000000000001,0.005065809396188402,0.0012664523490471004,36
0.009250000000000001,0.02775,0.06475000000000002,0.0037655603373894365,0.0009413900843473591,37
0.0095,0.028499999999999998,0.0665,0.0027834298808724787,0.0006958574702181197,38
0.00975,0.029249999999999998,0.06825,0.002178073490475075,0.0005445183726187688,39
0.01,0.03,0.07,0.002,0.0005,40
0.01,0.03,0.07,0.0022339215286923827,0.0005584803821730957,41
0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209,42
0.01,0.03,0.07,0.00407087604042101,0.0010177190101052524,43
0.01,0.03,0.07,0.005628677106875999,0.0014071692767189997,44
0.01,0.03,0.07,0.007564971157455596,0.001891242789363899,45
0.01,0.03,0.07,0.00983208020644301,0.0024580200516107526,46
0.01,0.03,0.07,0.012374180504948611,0.0030935451262371527,47
0.01,0.03,0.07,0.015128677106876,0.003782169276719,48
0.01,0.03,0.07,0.018027745164235612,0.004506936291058903,49
0.01,0.03,0.07,0.020999999999999998,0.0052499999999999995,50
0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975,51
0.01,0.03,0.07,0.026871322893124005,0.006717830723281001,52
0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475,53
0.01,0.03,0.07,0.03216791979355699,0.008041979948389247,54
0.01,0.03,0.07,0.0344350288425444,0.0086087572106361,55
0.01,0.03,0.07,0.036371322893124,0.009092830723281,56
0.01,0.03,0.07,0.03792912395957899,0.009482280989894747,57
0.01,0.03,0.07,0.03907007380960792,0.00976751845240198,58
0.01,0.03,0.07,0.03976607847130762,0.009941519617826905,59
0.01,0.03,0.07,0.04,0.01,60
0.01,0.03,0.07,0.03976607847130762,0.009941519617826905,61
0.01,0.03,0.07,0.03907007380960792,0.00976751845240198,62
0.01,0.03,0.07,0.037929123959578995,0.009482280989894749,63
0.01,0.03,0.07,0.036371322893124,0.009092830723281,64
0.01,0.03,0.07,0.03443502884254441,0.008608757210636102,65
0.01,0.03,0.07,0.032167919793556994,0.008041979948389249,66
0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475,67
0.01,0.03,0.07,0.026871322893124005,0.006717830723281001,68
0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975,69
0.01,0.03,0.07,0.021000000000000005,0.005250000000000001,70
0.01,0.03,0.07,0.018027745164235616,0.004506936291058904,71
0.01,0.03,0.07,0.015128677106876001,0.0037821692767190003,72
0.01,0.03,0.07,0.012374180504948613,0.003093545126237153,73
0.01,0.03,0.07,0.009832080206443015,0.002458020051610754,74
0.01,0.03,0.07,0.0075649711574556,0.0018912427893639,75
0.01,0.03,0.07,0.0056286771068760014,0.0014071692767190004,76
0.01,0.03,0.07,0.004070876040421012,0.001017719010105253,77
0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209,78
0.01,0.03,0.07,0.002233921528692385,0.0005584803821730962,79
0.01,0.03,0.07,0.002,0.0005,80
0.01,0.03,0.07,0.0022339215286923827,0.0005584803821730957,81
0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209,82
0.01,0.03,0.07,0.00407087604042101,0.0010177190101052524,83
0.01,0.03,0.07,0.005628677106875999,0.0014071692767189997,84
0.01,0.03,0.07,0.007564971157455596,0.001891242789363899,85
0.01,0.03,0.07,0.00983208020644301,0.0024580200516107526,86
0.01,0.03,0.07,0.012374180504948611,0.0030935451262371527,87
0.01,0.03,0.07,0.015128677106876,0.003782169276719,88
0.01,0.03,0.07,0.018027745164235612,0.004506936291058903,89
0.01,0.03,0.07,0.020999999999999998,0.0052499999999999995,90
0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975,91
0.01,0.03,0.07,0.026871322893124005,0.006717830723281001,92
0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475,93
0.01,0.03,0.07,0.03216791979355699,0.008041979948389247,94
0.01,0.03,0.07,0.0344350288425444,0.0086087572106361,95
0.01,0.03,0.07,0.036371322893124,0.009092830723281,96
0.01,0.03,0.07,0.03792912395957899,0.009482280989894747,97
0.01,0.03,0.07,0.03907007380960792,0.00976751845240198,98
0.01,0.03,0.07,0.03976607847130762,0.009941519617826905,99
0.01,0.03,0.07,0.04,0.01,100
0.01,0.03,0.07,0.03976607847130762,0.009941519617826905,101
0.01,0.03,0.07,0.03907007380960792,0.00976751845240198,102
0.01,0.03,0.07,0.037929123959578995,0.009482280989894749,103
0.01,0.03,0.07,0.036371322893124,0.009092830723281,104
0.01,0.03,0.07,0.03443502884254441,0.008608757210636102,105
0.01,0.03,0.07,0.032167919793556994,0.008041979948389249,106
0.01,0.03,0.07,0.02962581949505139,0.0074064548737628475,107
0.01,0.03,0.07,0.026871322893124005,0.006717830723281001,108
0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975,109
0.01,0.03,0.07,0.021000000000000005,0.005250000000000001,110
0.01,0.03,0.07,0.018027745164235616,0.004506936291058904,111
0.01,0.03,0.07,0.015128677106876001,0.0037821692767190003,112
0.01,0.03,0.07,0.012374180504948613,0.003093545126237153,113
0.01,0.03,0.07,0.009832080206443015,0.002458020051610754,114
0.01,0.03,0.07,0.0075649711574556,0.0018912427893639,115
0.01,0.03,0.07,0.0056286771068760014,0.0014071692767190004,116
0.01,0.03,0.07,0.004070876040421012,0.001017719010105253,117
0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209,118
0.01,0.03,0.07,0.002233921528692385,0.0005584803821730962,119
0.01,0.03,0.07,0.002,0.0005,120
0.01,0.03,0.07,0.0022339215286923827,0.0005584803821730957,121
0.01,0.03,0.07,0.0029299261903920834,0.0007324815475980209,122
0.01,0.03,0.07,0.00407087604042101,0.0010177190101052524,123
0.01,0.03,0.07,0.005628677106875999,0.0014071692767189997,124
0.01,0.03,0.07,0.007564971157455596,0.001891242789363899,125
0.01,0.03,0.07,0.00983208020644301,0.0024580200516107526,126
0.01,0.03,0.07,0.012374180504948611,0.0030935451262371527,127
0.01,0.03,0.07,0.015128677106876,0.003782169276719,128
0.01,0.03,0.07,0.018027745164235612,0.004506936291058903,129
0.01,0.03,0.07,0.020999999999999998,0.0052499999999999995,130
0.01,0.03,0.07,0.02397225483576439,0.0059930637089410975,131
0.01,0.03,0.07,0.026871322893124005,0.006717830723281001,132
0.01,0.03,0.07,0.0296258194950513,0.0074064548737628,133
0.01,0.03,0.07,0.0321679197935569,0.0080419799483892,134
0.01,0.03,0.07,0.0344350288425444,0.0086087572106361,135
0.01,0.03,0.07,0.036371322893124,0.009092830723281,136
0.01,0.03,0.07,0.0379291239595789,0.0094822809898947,137
0.01,0.03,0.07,0.0390700738096079,0.0097675184524019,138
0.01,0.03,0.07,0.0397660784713076,0.0099415196178269,139
0.01,0.03,0.07,0.04,0.01,140
0.01,0.03,0.07,0.0397660784713076,0.0099415196178269,141
0.01,0.03,0.07,0.0390700738096079,0.0097675184524019,142
0.01,0.03,0.07,0.0379291239595789,0.0094822809898947,143
0.01,0.03,0.07,0.036371322893124,0.009092830723281,144
0.01,0.03,0.07,0.0344350288425444,0.0086087572106361,145
0.01,0.03,0.07,0.0321679197935569,0.0080419799483892,146
0.01,0.03,0.07,0.0296258194950513,0.0074064548737628,147
0.01,0.03,0.07,0.026871322893124,0.006717830723281,148
0.01,0.03,0.07,0.0239722548357643,0.005993063708941,149
0.01,0.03,0.07,0.021,0.00525,150
0.01,0.03,0.07,0.0180277451642356,0.0045069362910589,151
0.01,0.03,0.07,0.015128677106876,0.003782169276719,152
0.01,0.03,0.07,0.0123741805049486,0.0030935451262371,153
0.01,0.03,0.07,0.009832080206443,0.0024580200516107,154
0.01,0.03,0.07,0.0075649711574556,0.0018912427893639,155
0.01,0.03,0.07,0.005628677106876,0.001407169276719,156
0.01,0.03,0.07,0.004070876040421,0.0010177190101052,157
0.01,0.03,0.07,0.002929926190392,0.000732481547598,158
0.01,0.03,0.07,0.0022339215286923,0.000558480382173,159
0.01,0.03,0.07,0.002,0.0005,160
0.01,0.03,0.07,0.0022339215286923,0.000558480382173,161
0.01,0.03,0.07,0.002929926190392,0.000732481547598,162
0.01,0.03,0.07,0.004070876040421,0.0010177190101052,163
0.01,0.03,0.07,0.0056286771068759,0.0014071692767189,164
0.01,0.03,0.07,0.0075649711574555,0.0018912427893638,165
0.01,0.03,0.07,0.009832080206443,0.0024580200516107,166
0.01,0.03,0.07,0.0123741805049486,0.0030935451262371,167
0.01,0.03,0.07,0.015128677106876,0.003782169276719,168
0.01,0.03,0.07,0.0180277451642356,0.0045069362910589,169
0.01,0.03,0.07,0.0209999999999999,0.0052499999999999,170
0.01,0.03,0.07,0.0239722548357643,0.005993063708941,171
0.01,0.03,0.07,0.026871322893124,0.006717830723281,172
0.01,0.03,0.07,0.0296258194950513,0.0074064548737628,173
0.01,0.03,0.07,0.0321679197935569,0.0080419799483892,174
0.01,0.03,0.07,0.0344350288425444,0.0086087572106361,175
0.01,0.03,0.07,0.036371322893124,0.009092830723281,176
0.01,0.03,0.07,0.0379291239595789,0.0094822809898947,177
0.01,0.03,0.07,0.0390700738096079,0.0097675184524019,178
0.01,0.03,0.07,0.0397660784713076,0.0099415196178269,179
0.01,0.03,0.07,0.04,0.01,180
0.01,0.03,0.07,0.0397660784713076,0.0099415196178269,181
0.01,0.03,0.07,0.0390700738096079,0.0097675184524019,182
0.01,0.03,0.07,0.0379291239595789,0.0094822809898947,183
0.01,0.03,0.07,0.036371322893124,0.009092830723281,184
0.01,0.03,0.07,0.0344350288425444,0.0086087572106361,185
0.01,0.03,0.07,0.0321679197935569,0.0080419799483892,186
0.01,0.03,0.07,0.0296258194950513,0.0074064548737628,187
0.01,0.03,0.07,0.026871322893124,0.006717830723281,188
0.01,0.03,0.07,0.0239722548357643,0.005993063708941,189
0.01,0.03,0.07,0.021,0.00525,190
0.01,0.03,0.07,0.0180277451642356,0.0045069362910589,191
0.01,0.03,0.07,0.015128677106876,0.003782169276719,192
